V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,target
1.1159999999999999,1.112,0.612,0.639,0.919,-0.895,-0.6559999999999999,-1.4180000000000001,0.8909999999999999,-2.114,0.122,-0.275,1.083,0.429,-0.256,1.0170000000000001,0.161,-0.963,-0.575,-0.381,0.22,-0.17300000000000001,-0.259,0.36700000000000005,-1.3119999999999998,0.317,-0.335,0.521,0.042,0.86,-0.09699999999999999,0.795,-0.452,-0.843,-0.29,0.364,-0.054000000000000006,-0.426,0.877
1.093,1.12,0.522,0.797,0.953,-0.619,-0.591,-1.39,1.044,-2.114,0.8170000000000001,0.431,1.472,-0.45,-0.332,1.112,0.282,-1.1179999999999999,-0.568,0.51,0.17600000000000002,1.156,-0.259,-0.618,-1.3130000000000002,0.267,-0.54,0.326,0.743,1.6540000000000001,0.755,0.903,-0.627,-0.843,-2.315,-0.289,-0.054000000000000006,0.079,1.077
-0.632,-0.9590000000000001,-0.474,1.194,-0.17,-0.5720000000000001,-0.779,-1.35,-1.034,-2.114,0.025,0.514,-0.419,-0.099,-0.371,1.5919999999999999,0.293,-0.897,-0.583,0.466,-0.649,2.259,-0.063,-0.619,-1.314,0.055,-0.479,-0.272,0.18899999999999997,1.8730000000000002,-0.613,-0.9490000000000001,-0.716,-0.843,-2.315,-0.289,0.41,1.837,-1.099
-0.9990000000000001,-1.3430000000000002,-0.45399999999999996,1.156,-0.523,-0.7859999999999999,-0.988,-1.463,-1.9480000000000002,-2.114,-1.6030000000000002,0.036000000000000004,-0.7509999999999999,0.569,-0.402,2.064,-0.929,-0.897,0.064,0.423,-0.72,1.76,-0.063,-0.631,-1.314,-0.161,-0.26,-0.18100000000000002,-0.457,1.8730000000000002,0.023,-1.8030000000000002,-0.512,-0.441,-0.9179999999999999,-0.943,-0.737,1.314,-1.656
-0.23399999999999999,-0.248,-0.271,0.94,0.174,-0.61,-1.102,-1.463,-0.987,-2.114,-1.004,0.419,0.34,0.436,-0.33899999999999997,2.064,-1.075,-0.897,-1.304,0.396,-0.519,1.7730000000000001,-0.259,-1.534,-1.315,-0.27399999999999997,-0.17600000000000002,-0.083,-0.457,2.002,-0.132,-0.897,-0.17,-0.862,-1.063,-1.3880000000000001,-1.23,0.94,-0.615
-0.898,-1.057,-0.655,0.94,-0.544,-0.654,-1.245,-1.6340000000000001,-1.784,-2.114,-0.25,0.275,-0.247,0.545,-0.258,1.98,-1.261,-0.897,-1.296,0.10800000000000001,-0.775,1.6380000000000001,-0.259,-1.537,-1.315,-0.485,-0.262,-0.405,1.29,1.935,0.466,-1.5659999999999998,0.264,-0.9,-1.1340000000000001,-1.537,0.049,1.681,-1.3659999999999999
-0.40299999999999997,-0.486,-0.304,0.951,-0.294,-0.488,-1.29,-1.686,-1.105,-2.114,-0.732,0.688,0.35700000000000004,-0.28800000000000003,-0.245,1.626,-1.463,-0.897,-1.31,0.6,-0.483,2.14,-0.259,-1.534,-1.319,-0.57,-0.627,-0.14800000000000002,1.2890000000000001,1.8869999999999998,1.369,-1.133,0.45,-1.76,-0.852,-2.131,-1.411,0.747,-0.345
-1.158,-1.538,-0.585,0.797,-0.818,-0.6679999999999999,-1.416,-1.7590000000000001,-2.33,-2.114,-0.917,0.248,-0.591,0.59,-0.264,1.626,-1.7069999999999999,-1.162,-1.306,0.413,-0.8420000000000001,1.591,-0.063,-1.544,0.233,-0.71,-0.511,-0.342,1.287,1.212,0.174,-2.1109999999999998,0.39,-1.76,-0.852,-2.131,-0.131,1.0190000000000001,-1.625
-0.638,-0.312,-0.059000000000000004,0.831,-0.223,-0.907,-1.403,-1.8780000000000001,-1.317,-2.114,-1.014,-0.306,0.18899999999999997,1.305,-0.29,0.721,-1.66,-1.162,-1.273,0.275,-0.402,1.162,-0.063,-1.55,0.233,-0.669,-0.45299999999999996,-0.073,1.288,0.8340000000000001,0.19399999999999998,-1.006,1.002,-1.76,-0.852,-2.131,-1.14,0.003,-0.735
0.375,0.42200000000000004,0.369,0.929,0.132,-1.599,-1.263,-1.8780000000000001,-0.32299999999999995,-2.114,-1.0,-1.3719999999999999,0.528,1.123,-0.265,0.665,-1.268,-1.162,-0.389,0.19699999999999998,0.048,1.3319999999999999,-0.621,-0.638,0.23199999999999998,-0.47600000000000003,-0.599,0.105,1.286,0.163,-0.12300000000000001,-0.342,0.9129999999999999,-0.613,-0.5710000000000001,-0.943,-0.8909999999999999,-0.536,-0.153
0.21100000000000002,0.385,0.491,1.182,-0.035,-1.287,-1.127,-1.84,-0.612,-2.114,-0.11,-0.868,0.45299999999999996,1.147,-0.218,0.055,-1.077,-1.251,-0.38799999999999996,0.20199999999999999,0.098,1.367,-0.156,-0.647,0.23199999999999998,-0.319,-0.374,0.11900000000000001,1.284,0.131,-0.574,-0.363,0.17,-0.613,-0.5479999999999999,-0.943,-0.084,-0.78,0.054000000000000006
-0.040999999999999995,0.09300000000000001,0.354,1.264,-0.221,-1.078,-1.028,-1.801,-0.7490000000000001,-2.114,0.205,-0.544,0.201,1.4280000000000002,-0.294,-0.251,-0.887,-1.4280000000000002,2.6839999999999997,0.256,-0.10099999999999999,1.1840000000000002,-0.063,-0.31,0.79,-0.21100000000000002,-0.106,-0.004,1.284,-0.225,-0.564,-0.456,-0.524,3.1710000000000003,2.635,-1.5959999999999999,0.267,-0.12300000000000001,0.037000000000000005
0.369,0.479,0.723,1.36,0.07200000000000001,-0.747,-0.888,-1.746,0.099,-2.114,-0.114,0.071,0.07200000000000001,1.2229999999999999,-0.261,-0.251,-0.653,-1.162,3.6189999999999998,-0.048,-0.055999999999999994,1.421,-0.259,-0.836,0.7979999999999999,-0.11699999999999999,0.205,0.172,1.284,-0.405,-0.861,-0.057999999999999996,-0.894,3.802,1.173,-0.943,-0.474,-0.8240000000000001,0.295
-0.14300000000000002,-0.345,0.363,1.3130000000000002,0.04,-0.516,-0.754,-1.617,-0.643,-2.114,-0.165,0.546,-0.035,1.0090000000000001,-0.331,-0.433,-0.527,-1.162,4.072,-0.203,-0.429,1.589,-0.259,-0.8059999999999999,0.8,0.113,0.365,-0.032,1.285,-0.405,-0.9009999999999999,-0.467,-0.9570000000000001,4.731,3.872,-0.943,-0.12,0.311,0.064
-2.028,-2.665,-0.467,0.435,-1.479,-0.562,-0.7979999999999999,-1.617,-2.7539999999999996,-2.114,1.524,0.34299999999999997,-1.6569999999999998,1.033,-0.20600000000000002,-0.318,-0.812,0.165,0.053,0.0,-1.516,1.514,-0.259,-0.631,0.8009999999999999,0.006,0.257,-0.638,1.281,0.114,-0.636,-2.6319999999999997,-0.988,2.483,1.416,-0.289,1.959,1.796,-2.5860000000000003
-1.692,-2.18,-0.595,-0.669,-0.8540000000000001,-0.574,-0.899,-1.61,-2.546,-2.114,-2.108,0.196,-0.82,0.585,-0.335,0.026000000000000002,-1.357,-0.897,0.568,0.324,-1.146,1.659,-0.259,0.218,0.741,0.063,-0.318,-0.402,1.2819999999999998,0.152,-0.19699999999999998,-2.397,-0.907,1.107,0.385,-0.289,-1.239,1.484,-2.613
0.618,0.245,0.382,-0.131,0.966,-1.081,-0.892,-1.64,0.29100000000000004,-2.114,-2.577,-0.488,0.205,0.56,-0.27899999999999997,0.595,-1.375,-1.0290000000000001,0.524,0.282,0.07400000000000001,1.6969999999999998,-0.259,0.355,-1.32,0.215,-0.435,0.45,1.278,0.568,0.332,-0.252,0.033,0.82,0.5539999999999999,-0.289,-2.565,-0.9570000000000001,-0.073
1.196,1.166,0.748,-0.596,1.421,-1.1840000000000002,-0.8079999999999999,-1.682,0.5870000000000001,-2.114,-1.64,-1.198,0.9279999999999999,2.293,-0.14,0.595,-0.741,-1.162,0.64,0.555,0.226,0.396,-0.063,0.353,-1.321,0.272,-0.496,0.47600000000000003,-0.245,1.095,2.05,0.7,1.204,0.534,1.416,0.31,-1.9180000000000001,-1.1059999999999999,1.273
1.1059999999999999,1.177,1.033,-0.045,1.124,-1.814,-0.49,-1.5490000000000002,0.544,-2.114,0.654,-2.275,1.454,1.4769999999999999,-0.15,1.4180000000000001,-0.09,-1.162,0.066,-0.336,0.196,1.058,-0.063,0.353,-1.321,0.111,-0.35200000000000004,0.295,-0.45899999999999996,1.329,-0.102,0.6679999999999999,-0.08,0.82,1.454,0.364,0.08800000000000001,-1.03,1.849
0.462,0.48,0.593,-0.319,0.33299999999999996,-1.2930000000000001,-0.382,-1.5490000000000002,-0.16,-2.114,1.699,-1.265,0.695,1.479,-0.255,1.368,-0.068,0.165,0.069,0.055,-0.39299999999999996,1.015,-0.259,-1.446,-1.321,-0.16399999999999998,-0.34700000000000003,0.19,-0.456,1.0270000000000001,-0.285,0.079,-0.727,-0.135,0.043,0.364,2.01,-0.16399999999999998,0.718
0.335,0.253,0.61,-0.518,0.159,-1.374,-0.297,-1.335,-0.255,-2.114,0.705,-1.035,0.687,0.98,-0.35600000000000004,1.22,-0.127,-0.366,1.974,-0.073,-0.86,1.473,-0.096,-0.635,-1.321,-0.217,-0.057999999999999996,0.076,-0.457,0.9840000000000001,-0.903,-0.075,-0.9890000000000001,1.4509999999999998,0.835,-2.25,0.845,-0.021,0.396
-0.254,-0.14800000000000002,0.237,-0.782,0.032,-0.591,-0.324,-1.305,-0.503,-2.114,0.85,0.439,0.44,0.8059999999999999,-0.3,0.87,-0.41,-0.897,1.056,-0.299,-1.4340000000000002,1.619,-0.063,0.36200000000000004,-1.321,-0.153,0.129,-0.24600000000000002,-0.45799999999999996,0.872,-0.218,-0.151,-0.672,2.063,3.7689999999999997,-1.324,0.19399999999999998,1.3130000000000002,-0.5529999999999999
-0.35100000000000003,-0.485,0.302,-1.446,-0.031,-1.5190000000000001,-0.43799999999999994,-1.262,-0.812,-2.114,-1.41,-1.29,-0.096,0.7709999999999999,-0.297,0.87,-0.752,-1.162,0.985,-0.051,-1.315,1.581,-0.063,-0.997,-1.319,-0.031,-0.10300000000000001,0.106,-0.451,0.737,1.42,-0.956,0.371,1.107,0.273,-0.943,-0.9059999999999999,-0.011000000000000001,-0.308
-0.261,-0.44299999999999995,-0.049,-1.5130000000000001,0.013000000000000001,-0.857,-0.535,-1.2990000000000002,-0.997,-2.114,-0.726,-0.159,0.027000000000000003,0.635,-0.29100000000000004,0.495,-0.809,-1.162,-1.13,0.23399999999999999,-1.514,1.63,-0.063,-0.335,-1.318,-0.03,0.038,0.03,-0.45399999999999996,0.573,0.8440000000000001,-0.823,0.40399999999999997,1.107,0.273,-1.5959999999999999,-0.405,0.6729999999999999,-0.496
0.369,0.615,0.706,-1.63,0.607,-1.296,-0.535,-1.2990000000000002,0.17600000000000002,-2.114,-0.8959999999999999,-0.963,0.485,0.868,-0.284,0.44799999999999995,-0.675,-1.4280000000000002,0.532,-0.52,-1.32,1.528,-0.259,0.345,-1.321,-0.043,0.24600000000000002,0.374,-0.45299999999999996,0.483,0.327,0.138,-0.14800000000000002,-0.785,-0.29,-0.943,-1.1159999999999999,-1.008,0.71
0.8220000000000001,0.804,1.5,-1.6,0.631,-1.757,-0.37,-1.32,0.578,-2.114,0.244,-1.963,0.7859999999999999,1.2429999999999999,-0.23,0.309,-0.675,-1.4280000000000002,0.532,-0.693,-1.074,1.295,-0.096,0.342,0.19399999999999998,0.126,0.402,0.374,-0.44799999999999995,0.248,-0.013999999999999999,0.542,0.6409999999999999,-0.785,-0.29,0.037000000000000005,0.099,-3.4539999999999997,0.977
0.7759999999999999,0.855,1.028,-1.6340000000000001,0.45799999999999996,-0.682,-0.19399999999999998,-1.2409999999999999,0.618,-2.114,1.318,0.23199999999999998,0.36200000000000004,0.6459999999999999,-0.226,0.114,0.18899999999999997,-1.4280000000000002,0.529,-0.27399999999999997,-0.787,1.7730000000000001,-0.063,0.353,0.47700000000000004,0.363,0.643,0.20600000000000002,0.5329999999999999,-0.048,0.419,0.639,1.2670000000000001,0.534,-0.29,0.364,0.7509999999999999,-0.39899999999999997,0.894
0.494,0.7290000000000001,0.7859999999999999,-1.754,0.341,-0.72,-0.18899999999999997,-1.13,0.149,-2.114,0.494,0.084,0.395,1.365,-0.11599999999999999,0.114,-0.031,-0.897,0.525,-0.54,-1.082,1.426,-0.621,0.365,0.131,0.467,0.807,0.24,0.74,0.063,-0.424,0.363,1.003,0.534,-0.29,0.364,0.429,-0.237,0.48700000000000004
0.386,0.32899999999999996,0.6579999999999999,-1.942,0.261,-0.515,-0.193,-1.073,0.063,-2.114,0.17600000000000002,0.45299999999999996,0.5710000000000001,1.22,-0.15,-0.009000000000000001,-0.111,-0.897,0.535,-0.32,-1.145,1.564,-0.621,0.34,0.09,0.512,0.9940000000000001,0.016,1.212,0.086,-0.22399999999999998,0.244,-0.036000000000000004,0.534,-0.29,0.364,-0.049,0.16399999999999998,-0.16899999999999998
-0.648,-0.522,0.17300000000000001,-1.925,-0.397,-0.743,-0.309,-1.073,-0.9940000000000001,-2.114,-0.5329999999999999,-0.09699999999999999,0.16699999999999998,1.6119999999999999,-0.24100000000000002,-0.066,-0.467,-1.4280000000000002,2.226,-0.34700000000000003,-1.37,1.217,-0.063,0.345,0.7979999999999999,0.583,0.9540000000000001,-0.153,1.2890000000000001,-0.09,-0.308,-0.679,0.055,1.236,0.441,0.364,-0.092,0.7440000000000001,-1.083
0.085,0.073,1.3130000000000002,-1.867,-0.405,-0.9279999999999999,-0.26899999999999996,-1.099,0.165,-2.114,-1.127,-0.151,0.005,1.538,-0.21,-0.239,-0.57,-1.693,0.077,-0.5720000000000001,-1.0490000000000002,1.271,-0.226,-0.645,0.799,0.545,0.449,0.264,1.286,-0.20600000000000002,-0.25,-0.10300000000000001,-0.106,1.4509999999999998,1.454,-0.616,-1.266,-2.314,0.11599999999999999
-0.436,-0.25,0.506,-1.8130000000000002,-0.374,-0.5670000000000001,-0.254,-1.0759999999999998,-0.82,-2.114,0.179,0.312,-0.08,1.099,-0.298,-0.6890000000000001,-0.121,-1.693,-3.512,0.406,-1.126,1.626,-0.259,-0.6659999999999999,0.7959999999999999,0.8190000000000001,0.036000000000000004,-0.004,1.286,-0.8270000000000001,-0.319,-0.431,-0.42200000000000004,2.326,2.541,-2.502,0.184,0.315,-0.564
-0.013999999999999999,0.099,0.8540000000000001,-1.715,-0.171,-0.914,-0.285,-1.045,-0.439,-2.114,-0.187,-0.375,0.44799999999999995,1.314,-0.16,-0.6890000000000001,-0.483,-1.4280000000000002,0.07200000000000001,-0.10400000000000001,-0.674,1.423,-0.259,-0.657,0.7959999999999999,0.7829999999999999,-0.20600000000000002,0.209,1.286,-0.6990000000000001,-0.21600000000000003,-0.185,1.218,-0.742,-2.512,-0.6459999999999999,-0.048,-0.785,-0.373
0.507,0.634,1.0959999999999999,-1.6019999999999999,0.191,-1.579,-0.22699999999999998,-1.0090000000000001,0.348,-1.036,-0.642,-1.6480000000000001,0.326,1.297,-0.172,-0.627,-0.244,-1.4280000000000002,0.142,0.7170000000000001,-0.397,1.4669999999999999,-0.259,-0.645,0.245,0.905,-0.9159999999999999,0.359,1.193,-0.52,-0.32799999999999996,0.389,0.307,-0.441,-0.402,-0.6459999999999999,-0.535,-1.2590000000000001,0.16899999999999998
0.669,0.675,0.82,-1.324,0.32299999999999995,-1.9409999999999998,-0.099,-1.0090000000000001,0.11199999999999999,-1.036,-0.237,-2.4130000000000003,0.604,1.16,-0.248,-0.24600000000000002,-0.076,-1.4280000000000002,1.4369999999999998,0.539,0.35600000000000004,1.5090000000000001,-0.063,-0.644,0.245,1.084,-1.166,0.16,0.294,-0.07200000000000001,0.23,0.47100000000000003,1.537,1.68,0.273,-0.943,-0.20199999999999999,-0.146,0.408
0.809,0.642,1.002,-1.214,0.332,-1.776,-0.02,-0.9159999999999999,0.071,-0.821,0.073,-2.073,0.688,2.0580000000000003,-0.195,-0.24600000000000002,-0.098,-1.4280000000000002,1.442,0.397,0.341,0.907,-0.528,-0.645,0.233,0.935,-0.735,0.273,0.27399999999999997,0.122,0.218,0.16699999999999998,0.374,1.68,0.273,-0.943,0.044000000000000004,-1.288,0.8640000000000001
0.8270000000000001,0.602,1.66,-1.131,0.114,-1.474,0.221,-0.8640000000000001,0.516,-0.821,0.687,-1.3619999999999999,0.561,1.1540000000000001,-0.34600000000000003,0.064,-0.009000000000000001,-1.4280000000000002,1.439,0.511,0.341,1.625,-0.621,-0.647,0.233,0.8590000000000001,-1.073,0.325,0.272,0.187,0.354,0.488,0.244,1.68,0.273,-0.943,0.423,-2.327,1.168
0.682,0.6759999999999999,1.266,-1.1320000000000001,0.612,-1.4669999999999999,0.355,-0.79,0.389,-0.821,0.742,-1.403,0.46299999999999997,1.295,-0.14300000000000002,0.064,0.43799999999999994,-1.162,1.445,0.32,0.348,1.581,-0.063,-1.119,0.8,0.8109999999999999,-0.8740000000000001,0.354,0.265,-0.16399999999999998,-0.34299999999999997,0.47,1.157,1.68,0.6659999999999999,-2.131,0.815,-1.123,0.972
0.7090000000000001,0.758,1.6130000000000002,-1.0270000000000001,0.413,-1.652,0.442,-0.621,0.433,-0.821,0.295,-1.874,0.745,2.414,-0.196,-0.057999999999999996,0.42200000000000004,-1.162,1.432,0.171,0.27699999999999997,0.5720000000000001,-0.063,-1.128,0.23199999999999998,0.8440000000000001,-0.488,0.37799999999999995,0.27,-0.040999999999999995,1.005,0.635,0.322,0.82,1.454,-0.9179999999999999,0.385,-1.901,1.083
0.44299999999999995,0.5660000000000001,1.6569999999999998,-0.996,-0.022000000000000002,-1.5190000000000001,0.5870000000000001,-0.621,0.128,-0.39,0.515,-1.314,0.546,0.37,0.036000000000000004,0.015,0.5479999999999999,-1.162,1.449,0.5760000000000001,0.07200000000000001,0.09300000000000001,-0.063,-1.205,0.23199999999999998,0.94,-1.3159999999999998,0.214,0.26899999999999996,0.081,-0.22899999999999998,0.21,0.09,0.82,1.454,-1.537,0.47700000000000004,-1.199,0.922
0.18100000000000002,0.085,1.2930000000000001,-0.991,-0.23199999999999998,-1.615,0.56,-0.49200000000000005,-0.187,-0.318,0.031,-1.625,0.124,0.632,-0.086,0.015,0.324,-1.162,1.4380000000000002,0.49,-0.122,-0.1,-0.528,-1.175,0.51,0.992,-1.2009999999999998,0.21,-0.456,-0.39299999999999996,0.531,-0.16899999999999998,1.766,1.68,0.273,-1.537,0.217,-1.0070000000000001,0.442
0.409,0.465,0.946,-1.0070000000000001,-0.045,-1.479,0.49200000000000005,-0.494,0.265,0.042,-0.086,-1.5619999999999998,0.18899999999999997,2.096,-0.158,-0.373,0.324,-1.162,1.383,-0.209,-0.087,-1.834,-0.621,0.22699999999999998,0.51,0.98,-0.7659999999999999,0.182,-0.457,-0.465,-0.49,0.17300000000000001,0.244,1.68,2.635,-1.062,-0.17,-1.097,0.385
-0.009000000000000001,0.057,1.173,-0.958,-0.847,-1.87,0.5589999999999999,-0.496,-0.084,0.042,-0.156,-2.372,-0.38799999999999996,1.35,-0.142,-0.46799999999999997,0.28300000000000003,-1.4280000000000002,0.9470000000000001,0.151,-0.0,-0.758,-0.259,0.133,1.081,1.0590000000000002,-0.5870000000000001,0.292,-0.45299999999999996,-0.664,-0.083,-0.226,1.145,-3.3369999999999997,-2.765,-0.586,-0.131,-1.4380000000000002,0.193
-0.691,-0.43,1.36,-0.9420000000000001,-1.524,-1.511,0.6759999999999999,-0.409,-0.261,0.042,-0.179,-1.446,-0.95,1.0959999999999999,-0.038,-0.46799999999999997,0.489,-1.4280000000000002,1.442,0.091,-0.127,-0.389,-0.259,-0.667,1.081,1.2329999999999999,-0.19399999999999998,0.239,-0.449,-1.1520000000000001,0.46799999999999997,-0.49200000000000005,0.258,1.107,-1.9769999999999999,-0.374,-0.055,-2.008,0.017
-0.433,-0.042,1.197,-1.031,-1.3430000000000002,-1.65,0.722,-0.409,0.47600000000000003,0.042,-0.14300000000000002,-1.7169999999999999,-1.111,1.024,0.005,-1.217,0.53,-1.4280000000000002,1.435,0.183,-0.29,-0.312,-0.259,-0.695,1.08,1.526,-0.068,0.258,-0.449,-1.4769999999999999,-0.08,0.055,0.128,1.442,0.835,-0.6459999999999999,-0.285,-1.685,0.505
-0.284,0.008,1.0270000000000001,-1.122,-1.237,-1.32,0.7959999999999999,-0.298,0.348,0.042,0.11800000000000001,-0.831,-0.995,0.42100000000000004,-0.075,-1.2670000000000001,0.6859999999999999,-1.4280000000000002,1.436,-0.249,-0.626,0.20800000000000002,-0.259,-0.309,1.081,1.6369999999999998,0.024,0.262,-0.45399999999999996,-1.4169999999999998,0.6920000000000001,0.027999999999999997,0.674,1.68,0.835,-1.324,0.005,-1.203,0.705
-0.21,0.091,1.247,-1.228,-1.18,-1.766,0.82,-0.252,0.489,0.042,0.14800000000000002,-2.079,-0.805,1.7719999999999998,-0.078,-1.338,0.6559999999999999,-1.4280000000000002,1.442,-0.272,-0.785,-1.135,-0.259,0.32799999999999996,1.082,1.554,0.382,0.22699999999999998,0.43,-1.304,0.48,0.153,1.3030000000000002,1.68,0.835,-3.556,0.146,-1.9709999999999999,0.529
-1.1840000000000002,-0.29100000000000004,0.925,-1.3719999999999999,-1.976,-0.6809999999999999,0.861,-0.188,0.373,0.042,0.09699999999999999,0.332,-1.6440000000000001,0.865,0.018000000000000002,-1.3419999999999999,0.653,-1.4280000000000002,0.083,-0.33299999999999996,-1.337,-0.18899999999999997,-0.259,0.102,1.508,1.599,0.578,0.384,0.43700000000000006,-1.534,0.593,-0.049,0.29100000000000004,1.222,0.441,-1.062,0.17600000000000002,-0.363,-0.061
-1.249,0.121,1.085,-1.4369999999999998,-2.023,-1.158,0.851,-0.12,0.506,0.042,-0.613,-0.7909999999999999,-1.4980000000000002,1.08,-0.024,-1.4269999999999998,0.6829999999999999,-1.4280000000000002,-1.319,-0.5720000000000001,-1.195,-0.373,-0.259,-0.349,1.506,1.699,0.48,0.42100000000000004,0.434,-1.5630000000000002,0.126,0.297,-0.292,-0.035,-0.079,-0.586,-0.46,-0.649,-0.401
-0.857,0.156,0.858,-1.463,-1.2890000000000001,-0.965,0.843,-0.12,0.245,0.042,-0.642,-0.147,-1.0270000000000001,0.519,-0.12,-1.597,0.725,-1.4280000000000002,-0.389,-0.47600000000000003,-0.917,0.111,-0.259,-1.103,1.432,2.14,0.602,0.358,0.44,-1.3880000000000001,-0.217,0.35100000000000003,-0.309,-0.843,-3.102,-1.537,-0.66,-0.33399999999999996,-0.111
0.373,0.517,0.8759999999999999,-1.395,-0.16899999999999998,-0.784,0.816,-0.07400000000000001,0.802,0.042,-0.09699999999999999,0.145,-0.303,0.8440000000000001,-0.13699999999999998,-1.345,0.677,-1.693,-0.27899999999999997,-0.583,-0.389,-0.013999999999999999,-0.096,-1.103,0.799,2.093,1.071,0.501,1.285,-0.963,-0.302,0.7340000000000001,-0.361,-0.69,-1.837,-1.537,-0.256,-0.188,0.387
