V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37
0.59061338,0.58210227,0.54785531,0.48744737,0.47678644,0.39797829,0.43177252,0.50645995,0.69064437,0.24244341,0.93579714,0.27280607,0.44451547,0.30731707,0.57709954,0.59415270,0.47704139,0.68754415,0.48273713,0.43545900,0.67431789,0.12239902,0.67108753,0.22663802,0.44650916,0.65100974,0.40660831,0.63523217,0.47692091,0.59103043,0.40105614,0.56021341,0.51209677,0.43182719,0.47732094,0.32585110,0.82551619,0.22865762
0.23280669,0.23764205,0.39148528,0.40355528,0.23186651,0.58779483,0.43069077,0.51076658,0.28167796,0.24244341,0.99905584,0.42101842,0.31347481,0.31138211,0.56592859,0.51531107,0.47907713,0.71862491,0.48822136,0.44134548,0.49819547,0.11464708,0.67108753,0.20824382,0.99362888,0.63730617,0.42103316,0.22738152,0.47748382,0.53550454,0.32754308,0.28772866,0.36631514,0.46026556,0.46024851,0.32585110,0.99451950,0.59683258
0.14327757,0.10681818,0.33290653,0.47606424,0.17063652,0.62635717,0.41770978,0.51679587,0.23900822,0.24244341,0.87267332,0.57486457,0.22104321,0.02959350,0.53820068,0.51531107,0.40737390,0.74994113,0.47376293,0.40308339,0.47625235,0.38004896,0.61332154,0.20851235,0.99389435,0.63216733,0.42855382,0.21493538,0.69180974,0.46516284,0.08879933,0.16679370,0.18470844,0.48860484,0.37316901,0.25115351,0.91205710,0.61930618
0.15721809,0.10525568,0.28729193,0.39014502,0.21060423,0.86222389,0.36856745,0.49770313,0.24520686,0.24244341,0.56325870,0.80823402,0.15379698,0.16227642,0.54019549,0.40127477,0.33374802,0.74994113,0.54530724,0.52796076,0.48058323,0.24500204,0.61332154,0.20851235,0.99389435,0.64668229,0.41080015,0.30157970,0.72192513,0.43392952,0.38785436,0.17085874,0.38383995,0.46026556,0.36933024,0.24441950,0.65638542,0.60784314
0.25697026,0.20426136,0.35771447,0.43287073,0.31705020,0.66716586,0.35187761,0.49770313,0.34669165,0.24244341,0.42230914,0.58938245,0.25083099,0.16195122,0.56114103,0.40820285,0.33125990,0.43748528,0.54493332,0.47316048,0.56561282,0.25377397,0.67108753,0.45005371,0.99389435,0.67147494,0.41018370,0.35184299,0.72150296,0.47423919,0.41328516,0.24568089,0.48418114,0.55489497,0.51186989,0.24441950,0.41141983,0.47722474
0.27664188,0.23650568,0.35499360,0.46390145,0.34046562,0.69749158,0.33874208,0.46698249,0.36038633,0.24244341,0.55637982,0.53954496,0.25185375,0.24308943,0.58128865,0.42870999,0.33793259,0.56251472,0.30749096,0.49110021,0.63303017,0.16034272,0.62304745,0.34116541,0.99389435,0.67625316,0.37455308,0.40641455,0.72164368,0.47997864,0.49916620,0.26524390,0.52481390,0.39774078,0.43186180,0.57039531,0.55990314,0.45565611
0.36787485,0.29346591,0.41469270,0.50506783,0.35755618,0.40434294,0.34291454,0.46267585,0.39613666,0.24244341,0.53682223,0.22015168,0.28343135,0.27138211,0.57011769,0.47720660,0.36993893,0.68754415,0.42191200,0.52277505,0.71589433,0.13055896,0.61332154,0.20730397,0.99389435,0.67048323,0.35149797,0.56055529,0.72178441,0.49492792,0.40397443,0.27489837,0.47565136,0.33709869,0.13546823,0.45491957,0.64287535,0.25444947
0.38289963,0.34133523,0.40428937,0.60860752,0.36603418,0.75177836,0.36053160,0.45650301,0.44068041,0.24244341,0.84165093,0.59479957,0.35195602,0.27707317,0.56951925,0.47720660,0.40861796,0.74994113,0.43076156,0.48801682,0.69871517,0.13831089,0.61332154,0.38976907,0.99336342,0.65948431,0.38010110,0.39205361,0.72079932,0.51294714,0.17634797,0.37715955,0.31389578,0.43182719,0.48863522,0.40740741,0.78307418,0.45414781
0.36895911,0.33536932,0.46046735,0.61905504,0.36011304,0.50393111,0.37552156,0.46181453,0.46734900,0.24244341,0.74939304,0.34972914,0.33623114,0.29918699,0.56832236,0.52916724,0.41506447,0.74994113,0.69437866,0.44807288,0.72744334,0.12831497,0.61332154,0.30088614,0.99309796,0.65939416,0.36271730,0.42843466,0.72122150,0.53483716,0.25639244,0.36026423,0.30877792,0.43182719,0.48863522,0.48883901,0.71921998,0.35098039
0.27137546,0.18508523,0.33962868,0.63729924,0.28017763,0.66828903,0.37552156,0.46181453,0.29825573,0.24244341,0.77232263,0.52394366,0.27767834,0.26130081,0.56692599,0.53567965,0.39990952,0.81257358,0.48722423,0.55374912,0.69943699,0.14912281,0.67108753,0.20958647,0.99389435,0.66056617,0.33707311,0.26376257,0.72108078,0.54684997,0.32823791,0.23818598,0.39438586,0.61930242,0.54550965,0.40740741,0.80983941,0.60452489
0.20120818,0.15823864,0.21254802,0.63262124,0.27694792,0.84088356,0.35002318,0.46482917,0.24030561,0.24244341,0.61855948,0.74062839,0.23919714,0.20032520,0.55615400,0.55493973,0.39990952,0.81257358,0.48722423,0.57799580,0.66392378,0.19665443,0.62304745,0.20998926,0.59171755,0.64532997,0.31783997,0.26376257,0.72037715,0.57821676,0.37562535,0.18686484,0.27202233,0.61930242,0.54550965,0.28519766,0.65498343,0.97345400
0.20833333,0.15099432,0.28809219,0.63792297,0.30022877,0.43841258,0.32282491,0.45348837,0.23453943,0.24244341,0.47369841,0.26500542,0.29340322,0.29739837,0.55535607,0.58195926,0.30219407,0.81257358,0.48759816,0.51927120,0.62249170,0.09914321,0.61332154,0.20851235,0.51659145,0.62396322,0.28812723,0.34418382,0.58232480,0.61772557,0.31545303,0.17454268,0.17493797,0.48860484,0.54550965,0.24441950,0.57188376,0.51266968
0.25201363,0.16889205,0.32682458,0.65663496,0.31597362,0.45263946,0.32205223,0.43755383,0.30214790,0.24244341,0.58483949,0.29707476,0.28918435,0.18048780,0.53341313,0.58195926,0.32707532,0.68754415,0.48809672,0.55655221,0.66507868,0.16993064,0.77777778,0.20690118,0.60844173,0.61458709,0.26790778,0.32790809,0.55319448,0.60290977,0.43260145,0.20960366,0.21588089,0.48860484,0.54550965,0.24441950,0.61292378,0.48823529
0.26874226,0.22571023,0.34731114,0.68595041,0.32673934,0.37588918,0.32267038,0.42937123,0.31454519,0.24244341,0.62773132,0.21711809,0.26668371,0.20406504,0.54019549,0.59900236,0.33612305,0.68754415,0.48685031,0.52571829,0.67417352,0.14177887,0.77777778,0.21025779,0.61932572,0.61053011,0.24485267,0.43513643,0.48677174,0.59983983,0.40480823,0.22472053,0.37701613,0.48860484,0.54550965,0.24441950,0.67384655,0.42775264
0.42890335,0.34659091,0.42493598,0.68329955,0.41528731,0.46125047,0.34059651,0.42937123,0.46691653,0.24244341,0.72336121,0.33629469,0.31833291,0.14032520,0.55834829,0.60690037,0.37638543,0.81257358,0.27608127,0.52950245,0.70665512,0.21256630,0.61332154,0.20958647,0.43137775,0.60412910,0.24978424,0.51603638,0.47593583,0.62333155,0.41648138,0.34197154,0.36290323,0.41904479,0.47166380,0.24441950,0.67932705,0.34027149
0.31536555,0.26207386,0.24247759,0.67425542,0.41636388,0.53051292,0.33441508,0.43310365,0.29984143,0.24244341,0.80347990,0.34799567,0.33904372,0.15235772,0.55216437,0.63087155,0.38803438,0.87497057,0.54393618,0.56103714,0.66031471,0.20155039,0.66136163,0.34250806,0.43111229,0.60755499,0.31204537,0.31641934,0.47635801,0.63881474,0.40842135,0.26880081,0.38787221,0.39774078,0.36933024,0.36662926,0.82895743,0.80150830
0.39606568,0.30795455,0.37163892,0.66583502,0.41219217,0.39535754,0.33209705,0.42980189,0.44183365,0.24244341,0.62732668,0.24767064,0.34991051,0.22373984,0.56971873,0.69322433,0.33725401,0.87497057,0.99127508,0.42396636,0.67143063,0.12913097,0.67108753,0.34532760,0.43190868,0.58285251,0.36296388,0.44471039,0.47635801,0.72170315,0.41801001,0.31046748,0.43687965,0.31103845,0.25952116,0.60182068,0.64414989,0.40497738
0.33070012,0.25838068,0.31594110,0.65055356,0.38487418,0.52527143,0.33688765,0.42535171,0.38691077,0.24244341,0.67669274,0.39653304,0.28240859,0.18878049,0.54219031,0.69322433,0.37819498,0.81257358,0.54455939,0.49544499,0.60617872,0.17054264,0.67108753,0.34411923,0.43190868,0.58609809,0.39279990,0.34274773,0.47635801,0.70461826,0.40369650,0.27921748,0.18253722,0.61504162,0.76997677,0.37037037,0.67371909,0.57088989
0.25000000,0.18238636,0.27720871,0.63293310,0.33615933,0.77424186,0.32792459,0.42018375,0.27346115,0.16666667,0.73806312,0.67237270,0.29800563,0.19154472,0.54458408,0.68463350,0.35116489,0.81257358,0.53583448,0.38037842,0.56619027,0.16156671,0.67108753,0.34250806,0.57817892,0.57509917,0.48033535,0.27094303,0.48944554,0.68072611,0.41926070,0.20630081,0.32382134,0.58521601,0.55682392,0.37037037,0.73578894,0.64238311
0.22490706,0.17656250,0.32138284,0.58958366,0.31839591,0.90977162,0.30814403,0.42018375,0.30748162,0.16666667,0.68343674,0.83813651,0.26246484,0.21382114,0.55974466,0.63184149,0.33216467,0.81257358,0.37442353,0.40532586,0.45748520,0.15299878,0.61332154,0.34237379,0.57817892,0.55896141,0.51115769,0.36620393,0.61595835,0.62092899,0.34171762,0.19588415,0.13306452,0.37504954,0.48863522,0.40740741,0.69334693,0.47450980
0.20322181,0.18125000,0.29225352,0.57243100,0.31718477,0.84799700,0.29593571,0.40683319,0.31339196,0.15155349,0.64162395,0.76446371,0.25172590,0.06780488,0.54917215,0.63184149,0.33465279,0.81257358,0.37380032,0.42522775,0.45965064,0.27580579,0.75036841,0.34250806,0.58136448,0.57239452,0.45801997,0.31211106,0.61877287,0.59503470,0.34338521,0.23450203,0.31343052,0.37504954,0.48863522,0.40740741,0.66199337,0.64675716
0.20043371,0.18693182,0.18693982,0.55948854,0.34652133,0.73493074,0.25869263,0.39936836,0.24924319,0.15155349,0.55880766,0.61040087,0.26796216,0.21479675,0.57929384,0.58888735,0.32458720,0.81257358,0.37417425,0.40925018,0.45965064,0.12933497,0.77777778,0.34277658,0.58136448,0.57924630,0.49969178,0.28721876,0.61905432,0.58635878,0.32448583,0.19372459,0.33359181,0.37504954,0.48863522,0.40740741,0.61368850,0.80346908
0.22289343,0.17642045,0.25000000,0.55964447,0.27950478,0.73231000,0.23798486,0.38874533,0.26755081,0.15155349,0.55138926,0.61928494,0.28049092,0.19186992,0.53879912,0.58888735,0.27403302,0.74994113,0.37342640,0.43601962,0.45864010,0.13831089,0.61332154,0.40614930,0.43084683,0.58357375,0.47515719,0.27333652,0.62003940,0.63320876,0.42134519,0.19601118,0.19199752,0.37504954,0.44893424,0.55555556,0.56372674,0.62187029
0.21871128,0.16477273,0.19446223,0.54327148,0.30628448,0.80157244,0.22454026,0.36448464,0.26120801,0.15155349,0.61168060,0.72134345,0.24443876,0.00991870,0.54937163,0.60579188,0.27584257,0.74994113,0.37504674,0.45690259,0.46888985,0.34414525,0.61332154,0.40735768,0.58162994,0.58059863,0.42756750,0.26184777,0.61933577,0.61679124,0.23401890,0.17505081,0.32149504,0.46026556,0.36933024,0.40428981,0.61853174,0.73921569
0.25991326,0.19204545,0.18741997,0.53843755,0.36482304,0.75177836,0.20213259,0.36448464,0.30517515,0.12125685,0.58200701,0.60000000,0.26987983,0.34227642,0.50309196,0.59567687,0.26159240,0.74994113,0.37292783,0.40014015,0.49848419,0.44186047,0.61332154,0.41769603,0.58162994,0.57194374,0.52965109,0.34035424,0.61947650,0.60050721,0.40550306,0.22903963,0.35747519,0.46026556,0.36933024,0.48148148,0.60680602,0.63333333
0.30049566,0.26036932,0.24567862,0.53765788,0.39308303,0.78771996,0.20630505,0.34596612,0.35058383,0.11619570,0.64728891,0.66738895,0.32383022,0.29967480,0.52742869,0.59567687,0.28692603,0.74994113,0.37429889,0.41219341,0.52649054,0.48123215,0.75036841,0.41366810,0.50783117,0.56725568,0.51547281,0.34226903,0.72150296,0.66377469,0.29988883,0.27718496,0.09754963,0.37504954,0.48863522,0.48148148,0.63994392,0.60437406
0.26517968,0.20639205,0.30121639,0.54015281,0.36791818,0.73680270,0.21681348,0.34625323,0.28542598,0.09088992,0.66306987,0.65373781,0.31552033,0.06162602,0.54179134,0.64943882,0.28692603,0.74994113,0.38115418,0.51016118,0.52143785,0.83496532,0.77777778,0.22542965,0.50783117,0.56833754,0.46184194,0.35567257,0.72164368,0.67338494,0.44177321,0.23373984,0.33359181,0.37504954,0.25002526,0.42224716,0.68926842,0.61794872
0.32992565,0.26434659,0.26488476,0.53251208,0.47584444,0.88318982,0.20645959,0.34654034,0.33573591,0.09088992,0.67251146,0.82925244,0.38928663,0.18292683,0.53859964,0.66260219,0.29156299,0.81257358,0.43549794,0.45970568,0.50887830,0.61546308,0.67108753,0.23805048,0.35625166,0.56121529,0.43977315,0.30301580,0.72108078,0.69994661,0.38521401,0.28442581,0.19385856,0.87217598,0.79553490,0.36288814,0.68429773,0.66938160
0.43556382,0.33352273,0.23495519,0.53001715,0.56694927,0.74878323,0.18837892,0.33405111,0.36125126,0.09088992,0.67561370,0.62860238,0.46113526,0.22422764,0.51785358,0.66260219,0.26826510,0.81257358,0.37380032,0.46811493,0.52721236,0.54018768,0.67108753,0.34546187,0.35625166,0.54552831,0.39132043,0.32838679,0.72051787,0.76508275,0.30864369,0.31821646,0.33142060,0.43182719,0.71593090,0.33645093,0.67461127,0.75535445
0.39560099,0.27840909,0.26104353,0.54389521,0.54259184,0.80082366,0.18127028,0.33405111,0.25500937,0.09088992,0.67075803,0.68732394,0.48171823,0.23593496,0.50927588,0.76638492,0.26362814,0.81257358,0.37467282,0.45522074,0.55074347,0.52447980,0.67108753,0.34922127,0.35651712,0.51911287,0.37578597,0.31929153,0.72051787,0.80846236,0.38479711,0.24872967,0.35158189,0.39863258,0.43186180,0.37037037,0.70392557,0.70663650
0.37252169,0.27130682,0.28825224,0.55808514,0.52832728,0.67727443,0.16983465,0.31811657,0.27346115,0.09088992,0.63555436,0.49534128,0.46688826,0.33398374,0.52523439,0.77331301,0.24598507,0.81257358,0.37454817,0.51576734,0.59924931,0.41840065,0.67108753,0.29739527,0.35625166,0.50910566,0.36444335,0.31737674,0.72122150,0.80045382,0.27751529,0.25215955,0.26690447,0.37504954,0.43186180,0.45491957,0.66696406,0.63393665
0.36105948,0.25951705,0.25304097,0.57461407,0.52065671,0.84425309,0.16612579,0.31151306,0.25313536,0.09088992,0.63150796,0.76576381,0.44259780,0.11430894,0.52583283,0.78315089,0.24937797,0.81257358,0.37380032,0.51899089,0.62220297,0.69237046,0.67108753,0.21186896,0.35598620,0.51658853,0.32030576,0.33413116,0.59681959,0.78537106,0.30697610,0.23628049,0.16935484,0.37504954,0.43186180,0.73325851,0.64899312,0.74977376
0.51192689,0.31377841,0.30457746,0.59706845,0.62777553,0.43803819,0.15978983,0.30232558,0.26985729,0.09088992,0.63838684,0.24333694,0.54985937,0.26178862,0.50668263,0.78370514,0.24971726,0.81257358,0.54318833,0.52754029,0.70189115,0.49938800,0.67108753,0.24221267,0.24289886,0.51253155,0.29614104,0.25897559,0.59583451,0.81607048,0.29127293,0.26194106,0.32630273,0.42043203,0.47166380,0.42224716,0.64516951,0.50723982
0.52199504,0.25525568,0.27896927,0.60720412,0.63410039,0.61662299,0.16133519,0.29256388,0.25068473,0.09088992,0.73415161,0.48667389,0.53119407,0.22682927,0.51506084,0.79548289,0.24632436,0.81257358,0.71793593,0.56103714,0.68139166,0.53692370,0.67108753,0.30276584,0.24342978,0.50351605,0.30822340,0.24126376,0.59625668,0.81994127,0.35617009,0.21798780,0.41671836,0.54498613,0.52419436,0.36288814,0.72622993,0.55037707
0.46127633,0.25028409,0.31530090,0.61125838,0.53532499,0.54436541,0.16257147,0.29256388,0.28830907,0.09088992,0.73806312,0.34712893,0.47097929,0.31804878,0.53421105,0.81903838,0.24157430,0.81257358,0.60201919,0.54758234,0.64125884,0.43818849,0.67108753,0.40400107,0.26307406,0.46375766,0.29318210,0.27142173,0.59541233,0.79658302,0.40383546,0.21112805,0.41935484,0.62504954,0.82957875,0.48148148,0.75172062,0.50286576
